Distance;Intensity;State;Counter;Encoder1;Encoder2;Encoder3
3065.918;55.287;0;25109;601604;0;0
3066.787;55.067;0;25110;601603;0;0
3068.109;56.264;0;25111;601602;0;0
3069.068;56.386;0;25112;601600;0;0
3070.788;57.631;0;25113;601599;0;0
3070.592;58.828;0;25114;601598;0;0
3071.309;60.562;0;25115;601597;0;0
3072.274;62.857;0;25116;601595;0;0
3073.137;65.153;0;25117;601594;0;0
3074.182;68.596;0;25118;601593;0;0
3073.905;72.015;0;25119;601592;0;0
3074.326;75.018;0;25120;601591;0;0
3074.117;78.779;0;25121;601589;0;0
3073.599;81.221;0;25122;601588;0;0
3074.871;84.737;0;25123;601587;0;0
3074.445;86.716;0;25124;601586;0;0
3074.086;88.938;0;25125;601585;0;0
3074.681;90.574;0;25126;601583;0;0
3075.065;92.625;0;25127;601582;0;0
3075.048;93.26;0;25128;601581;0;0
3075.493;92.894;0;25129;601580;0;0
3075.055;93.358;0;25130;601578;0;0
3075.151;93.455;0;25131;601577;0;0
3075.182;92.747;0;25132;601576;0;0
3074.636;91.868;0;25133;601575;0;0
3074.4;90.794;0;25134;601573;0;0
3073.366;89.158;0;25135;601572;0;0
3073.725;88.938;0;25136;601571;0;0
3072.615;88.913;0;25137;601570;0;0
3073.071;87.79;0;25138;601568;0;0
3071.063;88.205;0;25139;601567;0;0
3070.894;86.74;0;25140;601566;0;0
3067.966;86.129;0;25141;601565;0;0
3066.196;84.835;0;25142;601563;0;0
3066.454;84.078;0;25143;601562;0;0
3065.014;82.759;0;25144;601561;0;0
3064.547;81.49;0;25145;601559;0;0
3063.541;81.661;0;25146;601558;0;0
3062.931;80.464;0;25147;601557;0;0
3062.631;79.805;0;25148;601555;0;0
3061.521;78.364;0;25149;601554;0;0
3061.077;77.753;0;25150;601553;0;0
3060.695;78.242;0;25151;601551;0;0
3061.173;75.946;0;25152;601550;0;0
3060.464;76.117;0;25153;601549;0;0
3061.125;75.263;0;25154;601547;0;0
3060.306;73.26;0;25155;601546;0;0
3061.694;73.431;0;25156;601545;0;0
3060.899;70.549;0;25157;601543;0;0
3062.685;68.742;0;25158;601542;0;0
3062.499;66.129;0;25159;601541;0;0
3063.165;63.077;0;25160;601539;0;0
